Date,Ticker,Price,Daily Return,Normalized Price,Cumulative Growth,Cumulative Growth %
2021-06-01,AAPL,121.03778076171876,,100.0,0.0,0.0
2021-06-02,AAPL,121.79743194580078,0.006276149308929391,100.62761493089295,0.006276149308929391,0.6276149308929391
2021-06-03,AAPL,120.31707763671876,-0.012154232527174846,99.40456350036786,-0.005954364996321404,-0.5954364996321404
2021-06-04,AAPL,122.60577392578124,0.019022206439994083,101.29545762834937,0.012954576283493724,1.2954576283493724
2021-06-07,AAPL,122.6155014038086,7.933947738258951e-05,101.30349435701885,0.013034943570188418,1.3034943570188418
2021-06-08,AAPL,123.43359375,0.006672014034320162,101.97939269309452,0.019793926930945283,1.9793926930945283
2021-06-09,AAPL,123.8134307861328,0.0030772581806384203,102.29320961351588,0.022932096135158897,2.2932096135158897
2021-06-10,AAPL,122.82003784179688,-0.008023305210335785,101.4724799718418,0.014724799718418113,1.4724799718418113
2021-06-11,AAPL,124.02767944335938,0.009832610564068034,102.47021935037515,0.02470219350375147,2.470219350375147
2021-06-14,AAPL,127.07603454589844,0.02457802255287045,104.98873471256623,0.04988734712566223,4.988734712566223
2021-06-15,AAPL,126.25794219970705,-0.006437817713739746,104.31283637649054,0.043128363764905364,4.312836376490536
2021-06-16,AAPL,126.75464630126952,0.0039340424286087305,104.72320750064416,0.047232075006441665,4.7232075006441665
2021-06-17,AAPL,128.35186767578125,0.012600890153686928,106.04281313490156,0.06042813134901559,6.042813134901559
2021-06-18,AAPL,127.05658721923828,-0.010091636997560993,104.97266755854393,0.049726675585439306,4.972667558543931
2021-06-21,AAPL,128.8485870361328,0.014103950500436557,106.45319686568841,0.06453196865688415,6.453196865688415
2021-06-22,AAPL,130.4847412109375,0.0126982702134395,107.80496832457341,0.07804968324573403,7.8049683245734025
2021-06-23,AAPL,130.21205139160156,-0.0020898215132688636,107.57967518253142,0.0757967518253142,7.57967518253142
2021-06-24,AAPL,129.92962646484375,-0.002168961503482114,107.3463390085034,0.07346339008503411,7.346339008503411
2021-06-25,AAPL,129.6374053955078,-0.0022490718805768806,107.10490937595651,0.07104909375956514,7.104909375956514
2021-06-28,AAPL,131.2638397216797,0.012546026520739328,108.44865040948865,0.08448650409488656,8.448650409488657
2021-06-29,AAPL,132.7733612060547,0.011499903458375593,109.69579941938889,0.09695799419388895,9.695799419388894
2021-06-30,AAPL,133.38699340820312,0.004621651486220291,110.20277517380764,0.10202775173807632,10.202775173807632
2021-07-01,AAPL,133.6888885498047,0.002263302694571312,110.45219741180776,0.10452197411807762,10.452197411807763
2021-07-02,AAPL,136.30873107910156,0.019596561522170708,112.61668069364721,0.1261668069364721,12.616680693647208
2021-07-06,AAPL,138.3149871826172,0.014718470985922272,114.2742260409675,0.14274226040967508,14.274226040967509
2021-07-07,AAPL,140.79847717285156,0.017955320972957267,116.32605644846936,0.16326056448469362,16.326056448469362
2021-07-08,AAPL,139.50314331054688,-0.009199913864938125,115.25586674889551,0.1525586674889552,15.255866748895519
2021-07-09,AAPL,141.32437133789062,0.013055103878838903,116.76054406194798,0.1676054406194798,16.76054406194798
2021-07-12,AAPL,140.73025512695312,-0.0042039190078336786,116.26969219140095,0.16269692191400953,16.269692191400953
2021-07-13,AAPL,141.84054565429688,0.007889494169836864,117.18700125007373,0.1718700125007373,17.18700125007373
2021-07-14,AAPL,145.2589569091797,0.024100381446743757,120.01125268080052,0.2001125268080053,20.011252680800528
2021-07-15,AAPL,144.60643005371094,-0.004492162613261241,119.47214261833719,0.19472142618337185,19.472142618337184
2021-07-16,AAPL,142.5709686279297,-0.014075870796514511,117.79046817505872,0.17790468175058716,17.790468175058717
2021-07-19,AAPL,138.73374938964844,-0.026914450222298214,114.62020248269991,0.14620202482699907,14.620202482699906
2021-07-20,AAPL,142.3372344970703,0.02597410596394334,117.59735976759418,0.17597359767594178,17.597359767594178
2021-07-21,AAPL,141.60678100585938,-0.0051318510844466925,116.99386762934279,0.16993867629342785,16.993867629342784
2021-07-22,AAPL,142.97027587890625,0.009628739975315659,118.12037115945222,0.1812037115945222,18.12037115945222
2021-07-23,AAPL,144.6843719482422,0.011989177881895907,119.53653730075845,0.1953653730075846,19.53653730075846
2021-07-26,AAPL,145.1031494140625,0.0028944208706254138,119.88252634912403,0.1988252634912404,19.882526349124042
2021-07-27,AAPL,142.9410400390625,-0.014900499291233604,118.09621685022765,0.18096216850227642,18.09621685022764
2021-07-28,AAPL,141.19778442382812,-0.012195627055448743,116.65595943286287,0.16655959432862866,16.655959432862865
2021-07-29,AAPL,141.84054565429688,0.004552204789130432,117.18700125007373,0.1718700125007373,17.18700125007373
2021-07-30,AAPL,142.05479431152344,0.0015104895165078958,117.36401098693297,0.17364010986932965,17.364010986932964
2021-08-02,AAPL,141.72366333007812,-0.0023310088409909113,117.09043443970826,0.17090434439708257,17.090434439708257
2021-08-03,AAPL,143.51565551757812,0.012644269456445034,118.57095744353614,0.1857095744353614,18.57095744353614
2021-08-04,AAPL,143.11639404296875,-0.002782006417135996,118.24109227904228,0.1824109227904227,18.24109227904227
2021-08-05,AAPL,143.2235107421875,0.0007484586230324108,118.32959084415526,0.18329590844155264,18.329590844155263
2021-08-06,AAPL,142.5407257080078,-0.0047672692188697186,117.76548182804247,0.17765481828042473,17.765481828042475
2021-08-09,AAPL,142.4919891357422,-0.0003419133165174504,117.72521624157939,0.1772521624157939,17.72521624157939
2021-08-10,AAPL,142.01400756835938,-0.003354445188686883,117.3303134563707,0.17330313456370705,17.330313456370703
2021-08-11,AAPL,142.26763916015625,0.0017859617944715467,117.53986091353714,0.17539860913537142,17.53986091353714
2021-08-12,AAPL,145.22299194335938,0.020773190590982926,119.98153884633169,0.19981538846331692,19.98153884633169
