Date,AAPL,AMZN,AVGO,GOOG,META,MSFT,NVDA,ORCL,PLTR,TSLA
2021-01-04,125.97449493408203,159.3314971923828,38.25310134887695,85.76872253417969,267.0744323730469,208.88221740722656,13.076725006103516,59.4625358581543,23.3700008392334,243.2566680908203
2021-01-05,127.53196716308594,160.92550659179688,38.512203216552734,86.39799499511719,269.0903625488281,209.08370971679688,13.367158889770508,58.72566604614258,24.600000381469727,245.0366668701172
2021-01-06,123.23905944824219,156.91900634765625,38.27469253540039,86.11859893798828,261.4834899902344,203.66232299804688,12.57912540435791,58.58522033691406,23.540000915527344,251.9933319091797
2021-01-07,127.44437408447266,158.10800170898438,39.887699127197266,88.69725799560547,266.8757629394531,209.4578857421875,13.306577682495117,59.053375244140625,25.0,272.0133361816406
2021-01-08,128.5443878173828,159.13499450683594,40.09010696411133,89.68782043457031,265.7138671875,210.7340850830078,13.23951530456543,59.34363555908203,25.200000762939453,293.3399963378906
2021-01-11,125.55587005615234,155.7104949951172,40.10089874267578,87.67839050292969,255.05833435058594,208.6903076171875,13.58330249786377,59.015926361083984,25.93000030517578,270.39666748046875
2021-01-12,125.38064575195312,156.04150390625,40.42744827270508,86.67740631103516,249.3482208251953,206.23388671875,13.44693374633789,58.44477462768555,26.18000030517578,283.14666748046875
2021-01-13,127.41515350341797,158.29449462890625,40.591182708740234,87.06697845458984,249.89439392089844,207.5868377685547,13.493803977966309,58.10770797729492,25.5,284.8033447265625
2021-01-14,125.48773956298828,156.37350463867188,40.66855239868164,86.36128234863281,243.93603515625,204.40118408203125,13.163232803344727,57.6769905090332,24.920000076293945,281.6666564941406
2021-01-15,123.76473999023438,155.21249389648438,40.1089973449707,86.16325378417969,249.61636352539062,204.046142578125,12.82343578338623,57.845523834228516,25.639999389648438,275.38665771484375
2021-01-19,124.43640899658203,156.03799438476562,41.316261291503906,88.87641143798828,259.2887878417969,207.68280029296875,12.988724708557129,57.38673782348633,26.6200008392334,281.51666259765625
2021-01-20,128.52493286132812,163.16900634765625,41.55106735229492,93.6426773071289,265.62451171875,215.2631378173828,13.328268051147461,57.63954544067383,26.34000015258789,283.48333740234375
2021-01-21,133.2364044189453,165.34950256347656,41.99547576904297,93.8585433959961,270.9771423339844,215.86767578125,13.828609466552734,57.311832427978516,25.979999542236328,281.663330078125
2021-01-22,135.37803649902344,164.6114959716797,41.83354187011719,94.34489440917969,272.5958251953125,216.80801391601562,13.67404556274414,56.51596450805664,32.58000183105469,282.21331787109375
2021-01-25,139.12576293945312,164.6999969482422,41.8128547668457,94.26301574707031,276.08148193359375,220.24317932128906,13.614962577819824,57.02157211303711,36.22999954223633,293.6000061035156
2021-01-26,139.3594512939453,166.30650329589844,41.730098724365234,95.14836120605469,280.0934143066406,222.92990112304688,13.397576332092285,57.86425018310547,35.369998931884766,294.36334228515625
2021-01-27,138.28866577148438,161.62899780273438,40.00554275512695,90.85806274414062,270.252197265625,223.47679138183594,12.881525993347168,58.56648635864258,39.0,288.0533447265625
2021-01-28,133.45059204101562,161.88099670410156,40.63886642456055,92.46202087402344,263.1617126464844,229.26284790039062,13.014400482177734,57.321189880371094,35.65999984741211,278.4766540527344
2021-01-29,128.45680236816406,160.30999755859375,40.527320861816406,91.10371398925781,256.53802490234375,222.57484436035156,12.953324317932129,56.58149337768555,35.18000030517578,264.510009765625
2021-02-01,130.57887268066406,167.1439971923828,41.988285064697266,94.35978698730469,260.19244384765625,229.95370483398438,13.19987964630127,57.59272384643555,33.959999084472656,279.9366760253906
2021-02-02,131.4062957763672,169.0,42.900482177734375,95.65805053710938,265.227294921875,229.81932067871094,13.5187349319458,58.39795684814453,31.020000457763672,290.92999267578125
2021-02-03,130.38417053222656,165.62649536132812,41.848838806152344,102.73298645019531,264.80029296875,233.16818237304688,13.49255657196045,58.210693359375,31.760000228881836,284.89666748046875
2021-02-04,133.74261474609375,166.5500030517578,42.33822250366211,102.35084533691406,264.6413879394531,232.21820068359375,13.625931739807129,59.31553268432617,32.04999923706055,283.3299865722656
2021-02-05,133.32823181152344,167.6074981689453,41.922603607177734,104.11908721923828,266.240234375,232.40052795410156,13.552886009216309,59.549625396728516,34.04999923706055,284.07666015625
2021-02-08,133.47451782226562,166.14700317382812,42.524444580078125,103.8664779663086,264.7307434082031,232.65960693359375,14.398259162902832,59.0908317565918,36.04999923706055,287.8066711425781
2021-02-09,132.59710693359375,165.25,42.69807434082031,103.39998626708984,267.58087158203125,233.9070281982422,14.223250389099121,59.61516189575195,38.16999816894531,283.1533203125
2021-02-10,131.99264526367188,164.32899475097656,42.28603744506836,103.98907470703125,269.98406982421875,232.99546813964844,14.722846984863281,59.24064254760742,35.70000076293945,268.2733459472656
2021-02-11,131.73916625976562,163.10650634765625,43.036319732666016,104.01437377929688,268.5143737792969,234.59786987304688,15.207982063293457,58.706932067871094,33.11000061035156,270.5533447265625
2021-02-12,131.97315979003906,163.885498046875,43.74971389770508,104.42231750488281,268.6235656738281,235.07763671875,14.919297218322754,59.06273651123047,31.90999984741211,272.0400085449219
2021-02-16,129.847900390625,163.44749450683594,44.00249481201172,105.30519104003906,272.06951904296875,233.83982849121094,15.287261962890625,58.18260192871094,27.84000015258789,265.40667724609375
